,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
above,0.872,0.625,0.723,0.623,0.872,0.623,0.723,0.213,0.432,0.213,0.872,0.782,0.782,0.872,0.213,0.321,0.623,0.123,0.213,0.123,0.872,0.213,0.623,0.782,0.1,0.125,0.213,0.567,0.987,0.623,0.123,0.123,0.213,0.123,0.123,0.412,0.782,0.123,0.213,0.412,0.723,0.125,0.215,0.213,0.315,0.123,0.123,0.213,0.123,0.123,0.213,0.321,0.623,0.213,0.623,0.623,0.213,0.213,0.623,0.123,0.213,0.123,0.123,0.723,0.623,0.723,0.623,0.782,0.623,0.623,0.321
angry,0.125,0.125,0.123,0.123,0.123,0.125,0.123,0.215,0.123,0.123,0.123,0.123,0.123,0.123,0.215,0.123,0.123,0.213,0.123,0.213,0.123,0.123,0.123,0.123,0.2,0.125,0.125,0.1,0,0.05,0.213,0.123,0.123,0.412,0.412,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.215,0.213,0.123,0.872,0.978,0.123,0.123,0.123,0.123,0.123,0.123,0.213,0.123,0.123,0.412,0.213,0.872,1,0.123,0.213,0.123,0.213,0.213,0.425,0.123,0.782
beach,0.45,0.05,0.125,0.123,0.872,0.15,0.125,0.05,0.125,0.123,0.987,0.782,0.872,0.897,0.125,0.125,0.213,0.123,0.123,0.123,0.982,0.782,0.897,0.978,0,0.05,0.2,0.412,0.8,0.623,0.123,0.412,0.723,0.213,0.123,0.872,0.897,0.125,0.425,0.723,0.782,0.2,0.65,0.872,0.872,0.25,0.782,0.872,0.623,0.123,0.625,0.321,0.62,0.125,0.412,0.723,0.652,0.782,0.89,0.782,0.872,0.782,0.123,0.723,0.412,0.623,0.425,0.723,0.65,0.872,0.875
below,0.2,0.25,0.213,0.213,0.423,0.425,0.425,0.215,0.315,0.215,0.213,0.782,0.623,0.423,0.315,0.425,0.215,0.215,0.213,0.123,0.215,0.423,0.412,0.215,0.8,0.65,0.423,0.213,0.1,0.2,0.213,0.213,0.213,0.213,0.123,0.213,0.215,0.213,0.423,0.321,0.213,0.215,0.423,0.213,0.213,0.215,0.213,0.213,0.215,0.213,0.215,0.215,0.213,0.213,0.215,0.213,0.213,0.213,0.213,0.315,0.213,0.321,0.123,0.123,0.213,0.213,0.213,0.215,0.213,0.215,0.321
beside,0.423,0.123,0.432,0.213,0.5,0.423,0.456,0.123,0.432,0.123,0.567,0.512,0.512,0.567,0.213,0.432,0.432,0.123,0.123,0.123,0.512,0.456,0.567,0.512,0,0.123,0.5,0.5,0.5,0.5,0.123,0.321,0.432,0.213,0.123,0.432,0.456,0.123,0.456,0.512,0.432,0.213,0.456,0.456,0.512,0.123,0.432,0.432,0.213,0.123,0.432,0.432,0.512,0.456,0.456,0.432,0.321,0.423,0.432,0.213,0.423,0.123,0.123,0.456,0.456,0.432,0.456,0.456,0.432,0.432,0.432
blueberry,0.897,0.897,0.872,0.213,0.897,0.897,0.872,0.872,0.782,0.123,0.782,0.897,0.872,0.872,0.652,0.623,0.623,0.123,0.123,0.123,0.123,0.123,0.213,0.123,0,0.05,0.001,0.05,0,0.001,0.123,0.123,0.021,0.123,0.012,0.123,0.123,0.021,0.123,0.123,0.123,0.025,0.052,0.025,0.052,0.021,0.012,0.012,0,0,0.123,0.012,0.123,0.123,0.123,0.123,0.021,0.015,0.012,0.025,0.012,0.012,0,0.012,0.123,0.123,0.123,0.123,0.123,0.012,0.012
dawn,0.412,0.125,0.123,0.123,0.625,0.125,0.423,0.123,0.123,0.123,0.872,0.625,0.723,0.872,0.215,0.215,0.782,0.123,0.123,0.123,0.213,0.213,0.412,0.723,0,0.1,0.123,0.123,0.2,0.123,0.123,0.412,0.782,0.623,0.412,0.123,0.213,0.123,0.123,0.321,0.412,0.123,0.213,0.623,0.782,0.123,0.412,0.872,0.623,0.623,0.123,0.123,0.123,0.123,0.213,0.623,0.412,0.623,0.872,0.412,0.872,0.782,0.123,0.123,0.213,0.213,0.623,0.723,0.625,0.782,0.872
day,0.872,0.125,0.215,0.123,0.872,0.25,0.425,0.125,0.213,0.123,0.912,0.625,0.723,0.897,0.125,0.315,0.623,0.123,0.123,0.123,0.872,0.412,0.723,0.872,0,0.15,0.3,0.65,1,0.723,0.123,0.215,0.321,0.213,0.123,0.723,0.872,0.125,0.412,0.723,0.872,0.125,0.412,0.623,0.782,0.125,0.321,0.623,0.213,0.123,0.782,0.782,0.872,0.623,0.872,0.872,0.425,0.723,0.872,0.315,0.782,0.412,0.123,0.872,0.872,0.872,0.872,0.872,0.782,0.872,0.782
disgust,0.125,0.125,0.125,0.213,0.123,0.125,0.125,0.213,0.215,0.213,0.123,0.125,0.123,0.125,0.213,0.215,0.123,0.213,0.412,0.412,0.123,0.321,0.213,0.123,0.2,0.213,0.123,0.123,0.1,0.123,0.612,0.213,0.123,0.412,0.213,0.213,0.123,0.412,0.623,0.412,0.123,0.412,0.213,0.213,0.123,0.213,0.213,0.123,0.412,0.215,0.213,0.782,0.412,0.623,0.723,0.782,0.213,0.412,0.215,0.623,0.215,0.712,0.213,0.623,0.782,0.412,0.412,0.412,0.315,0.213,0.412
dress,0.623,0.215,0.567,0.723,0.567,0.625,0.567,0.625,0.723,0.872,0.623,0.623,0.623,0.723,0.625,0.723,0.872,0.782,0.872,0.872,0.412,0.423,0.623,0.623,0.2,0.423,0.423,0.567,0.8,0.567,0.623,0.623,0.872,0.872,0.872,0.412,0.412,0.123,0.213,0.423,0.412,0.125,0.412,0.567,0.623,0.123,0.456,0.723,0.723,0.872,0.215,0.213,0.213,0.123,0.321,0.412,0.213,0.412,0.623,0.315,0.412,0.623,0.723,0.213,0.213,0.412,0.412,0.412,0.456,0.412,0.623
dusk,0.625,0.872,0.782,0.412,0.723,0.872,0.872,0.872,0.782,0.215,0.623,0.897,0.872,0.872,0.872,0.782,0.782,0.412,0.412,0.213,0.123,0.213,0.213,0.213,0.1,0.25,0.213,0.123,0.1,0.123,0.412,0.412,0.213,0.312,0.213,0.123,0.123,0.123,0.213,0.123,0.123,0.123,0.412,0.412,0.213,0.123,0.213,0.213,0.213,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.412,0.213,0.412,0.315,0.623,0.412,0.123,0.123,0.123,0.123,0.213,0.312,0.412,0.123,0.412
far,0.872,0.872,0.872,0.623,0.872,0.872,0.782,0.782,0.623,0.213,0.872,0.872,0.872,0.872,0.425,0.432,0.623,0.215,0.213,0.123,0.782,0.412,0.623,0.782,0,0.125,0.213,0.213,0.1,0.213,0.123,0.213,0.123,0.213,0.123,0.213,0.412,0.213,0.213,0.412,0.321,0.125,0.215,0.213,0.213,0.125,0.213,0.123,0.123,0.123,0.215,0.213,0.213,0.213,0.412,0.213,0.213,0.213,0.215,0.125,0.213,0.215,0.123,0.215,0.412,0.412,0.623,0.623,0.315,0.215,0.213
